# Time: 2022-04-21T13:39:54-07:00
# Header Rows: 22
# File Format: 2
# Device: APE PulseLink 150
# Serial: S07246
# Firmware: 787
# Software: 1.8.5.1
# Sensitivity: 1
# Gain: 450
# Scan Range [ps]: 150.0
# Filter ACF: 0
# Average: 16
# Trigger: 0
# Trigger Frequency [Hz]: N/A
# ACF [ps]: 25.368
# Fit Type: None
# Fit Pulse Duration [ps]: 0.000
# FWHM Valid: 0
# ==========
# Delay [ps]	Intensity [arb.u.]
# ==========
-54.964982	0.019861
-54.889945	0.020727
-54.814907	0.020399
-54.739870	0.020659
-54.664832	0.021342
-54.589795	0.021540
-54.514757	0.021224
-54.439720	0.021677
-54.364682	0.022842
-54.289645	0.021284
-54.214607	0.022032
-54.139570	0.022005
-54.064532	0.021542
-53.989495	0.022296
-53.914457	0.023158
-53.839420	0.022545
-53.764382	0.022213
-53.689345	0.022867
-53.614307	0.022745
-53.539270	0.023185
-53.464232	0.023171
-53.389195	0.022169
-53.314157	0.022562
-53.239120	0.023081
-53.164082	0.022942
-53.089045	0.021916
-53.014007	0.022471
-52.938969	0.022685
-52.863932	0.022818
-52.788894	0.023435
-52.713857	0.023430
-52.638819	0.024060
-52.563782	0.024226
-52.488744	0.024286
-52.413707	0.024742
-52.338669	0.025253
-52.263632	0.024804
-52.188594	0.024939
-52.113557	0.025604
-52.038519	0.025417
-51.963482	0.025251
-51.888444	0.024239
-51.813407	0.025005
-51.738369	0.025980
-51.663332	0.025745
-51.588294	0.027866
-51.513257	0.027378
-51.438219	0.026813
-51.363182	0.026647
-51.288144	0.027175
-51.213107	0.027069
-51.138069	0.027488
-51.063032	0.026657
-50.987994	0.026200
-50.912956	0.027121
-50.837919	0.025726
-50.762881	0.027305
-50.687844	0.026539
-50.612806	0.026237
-50.537769	0.025996
-50.462731	0.026576
-50.387694	0.025188
-50.312656	0.024864
-50.237619	0.024737
-50.162581	0.024075
-50.087544	0.024303
-50.012506	0.024509
-49.937469	0.023746
-49.862431	0.024033
-49.787394	0.024045
-49.712356	0.023397
-49.637319	0.022165
