# Time: 2025-04-13T20:09:57-07:00
# Header Rows: 22
# File Format: 2
# Device: APE PulseLink 150
# Serial: S07246
# Firmware: 787
# Software: 1.8.5.1
# Sensitivity: 10
# Gain: 380
# Scan Range [ps]: 150.0
# Filter ACF: 0
# Average: 16
# Trigger: 0
# Trigger Frequency [Hz]: N/A
# ACF [ps]: 15.658
# Fit Type: None
# Fit Pulse Duration [ps]: 0.000
# FWHM Valid: 0
# ==========
# Delay [ps]	Intensity [arb.u.]
# ==========
-75.000000	0.007014
-74.924962	0.006879
-74.849925	0.006537
-74.774887	0.006996
-74.699850	0.006748
-74.624812	0.006919
-74.549775	0.006599
-74.474737	0.006900
-74.399700	0.006383
-74.324662	0.007127
-74.249625	0.006925
-74.174587	0.006981
-74.099550	0.006699
-74.024512	0.006771
-73.949475	0.006611
-73.874437	0.006782
-73.799400	0.006825
-73.724362	0.006622
-73.649325	0.006696
-73.574287	0.006782
-73.499250	0.006744
-73.424212	0.006940
-73.349175	0.006437
-73.274137	0.006871
-73.199100	0.006929
-73.124062	0.006555
-73.049025	0.006711
-72.973987	0.006931
-72.898949	0.006834
-72.823912	0.007046
-72.748874	0.006842
-72.673837	0.006917
-72.598799	0.006545
-72.523762	0.006657
-72.448724	0.006867
-72.373687	0.006688
-72.298649	0.006809
-72.223612	0.006767
-72.148574	0.006902
-72.073537	0.006944
-71.998499	0.006898
-71.923462	0.006883
-71.848424	0.006618
-71.773387	0.006908
-71.698349	0.006817
-71.623312	0.006753
-71.548274	0.006555
-71.473237	0.006927
-71.398199	0.006917
-71.323162	0.007068
-71.248124	0.006921
-71.173087	0.006636
-71.098049	0.006771
-71.023012	0.006817
-70.947974	0.006663
-70.872936	0.006755
-70.797899	0.006555
-70.722861	0.006522
-70.647824	0.006564
-70.572786	0.006576
-70.497749	0.006886
-70.422711	0.006996
-70.347674	0.006615
-70.272636	0.006547
-70.197599	0.006846
-70.122561	0.006503
-70.047524	0.006580
-69.972486	0.006807
-69.897449	0.006595
-69.822411	0.006680
-69.747374	0.006761
-69.672336	0.006942
-69.597299	0.006694
-69.522261	0.007087
-69.447224	0.006564
-69.372186	0.006773
-69.297149	0.006618
-69.222111	0.006844
-69.147074	0.006653
-69.072036	0.006763
-68.996998	0.006807
-68.921961	0.006844
-68.846923	0.006724
-68.771886	0.006900
-68.696848	0.006732
-68.621811	0.006696
-68.546773	0.006584
-68.471736	0.006485
-68.396698	0.006582
-68.321661	0.006630
-68.246623	0.006665
-68.171586	0.006572
-68.096548	0.006526
-68.021511	0.007199
-67.946473	0.007012
-67.871436	0.006661
-67.796398	0.006850
-67.721361	0.006775
-67.646323	0.006765
-67.571286	0.006568
-67.496248	0.006989
-67.421211	0.006553
-67.346173	0.006724
-67.271136	0.006987
-67.196098	0.006775
-67.121061	0.006869
-67.046023	0.006657
-66.970985	0.006572
-66.895948	0.006813
-66.820910	0.006458
-66.745873	0.006921
-66.670835	0.006902
-66.595798	0.006665
-66.520760	0.007145
-66.445723	0.006684
-66.370685	0.006651
-66.295648	0.006811
-66.220610	0.007075
-66.145573	0.006950
-66.070535	0.006746
-65.995498	0.006692
-65.920460	0.006412
-65.845423	0.007035
-65.770385	0.006694
-65.695348	0.006919
-65.620310	0.006927
-65.545273	0.006742
-65.470235	0.007110
-65.395198	0.006888
-65.320160	0.006663
-65.245123	0.006746
-65.170085	0.006856
-65.095048	0.006549
-65.020010	0.006981
-64.944972	0.006896
-64.869935	0.006767
-64.794897	0.006817
-64.719860	0.006638
-64.644822	0.006786
-64.569785	0.006865
-64.494747	0.007077
-64.419710	0.006636
-64.344672	0.006879
-64.269635	0.006765
-64.194597	0.006811
-64.119560	0.006655
-64.044522	0.006927
-63.969485	0.006696
-63.894447	0.006680
-63.819410	0.007010
-63.744372	0.006537
-63.669335	0.006848
-63.594297	0.006653
-63.519260	0.006832
-63.444222	0.006574
-63.369185	0.006769
-63.294147	0.006503
-63.219110	0.006790
-63.144072	0.006902
-63.069035	0.006971
-62.993997	0.006996
-62.918959	0.006881
-62.843922	0.006669
-62.768884	0.006439
-62.693847	0.006724
-62.618809	0.006757
-62.543772	0.006913
-62.468734	0.006485
-62.393697	0.006728
-62.318659	0.006620
-62.243622	0.006923
-62.168584	0.006759
-62.093547	0.006859
-62.018509	0.006728
-61.943472	0.006846
-61.868434	0.006545
-61.793397	0.006859
-61.718359	0.006661
-61.643322	0.006746
-61.568284	0.006979
-61.493247	0.006568
-61.418209	0.006329
-61.343172	0.007102
-61.268134	0.006726
-61.193097	0.006807
-61.118059	0.006609
-61.043022	0.006863
-60.967984	0.006775
-60.892946	0.006825
-60.817909	0.006605
-60.742871	0.006784
-60.667834	0.006987
-60.592796	0.006836
-60.517759	0.006881
-60.442721	0.007106
-60.367684	0.006667
-60.292646	0.006713
-60.217609	0.006503
-60.142571	0.006591
-60.067534	0.006896
-59.992496	0.006605
-59.917459	0.006813
-59.842421	0.006667
-59.767384	0.006769
-59.692346	0.007183
-59.617309	0.006647
-59.542271	0.006805
-59.467234	0.006904
-59.392196	0.006759
-59.317159	0.006719
-59.242121	0.006925
-59.167084	0.006958
-59.092046	0.006551
-59.017009	0.006339
-58.941971	0.006549
-58.866933	0.006829
-58.791896	0.006632
-58.716858	0.006424
-58.641821	0.006975
-58.566783	0.006678
-58.491746	0.006628
-58.416708	0.006553
-58.341671	0.006807
-58.266633	0.006927
-58.191596	0.006584
-58.116558	0.006883
-58.041521	0.006802
-57.966483	0.006769
-57.891446	0.006952
-57.816408	0.006832
-57.741371	0.006721
-57.666333	0.007041
-57.591296	0.006588
-57.516258	0.006975
-57.441221	0.007012
-57.366183	0.006802
-57.291146	0.006967
-57.216108	0.006653
-57.141071	0.006848
-57.066033	0.006844
-56.990995	0.006699
-56.915958	0.006809
-56.840920	0.006879
-56.765883	0.006715
-56.690845	0.006678
-56.615808	0.007073
-56.540770	0.006696
-56.465733	0.007075
-56.390695	0.006570
-56.315658	0.006746
-56.240620	0.006844
-56.165583	0.006591
-56.090545	0.006520
-56.015508	0.006832
-55.940470	0.006649
-55.865433	0.006682
-55.790395	0.006645
-55.715358	0.006663
-55.640320	0.006778
-55.565283	0.006520
-55.490245	0.006788
-55.415208	0.006726
-55.340170	0.006906
-55.265133	0.006825
-55.190095	0.006653
-55.115058	0.006748
-55.040020	0.006827
-54.964982	0.006692
-54.889945	0.006948
-54.814907	0.006713
-54.739870	0.006800
-54.664832	0.006877
-54.589795	0.006948
-54.514757	0.006879
-54.439720	0.006788
-54.364682	0.007189
-54.289645	0.006659
-54.214607	0.006645
-54.139570	0.006956
-54.064532	0.006983
-53.989495	0.006925
-53.914457	0.006505
-53.839420	0.006809
-53.764382	0.006813
-53.689345	0.006925
-53.614307	0.006800
-53.539270	0.006850
-53.464232	0.007029
-53.389195	0.006962
-53.314157	0.006773
-53.239120	0.006570
-53.164082	0.007176
-53.089045	0.006775
-53.014007	0.006792
-52.938969	0.006827
-52.863932	0.006886
-52.788894	0.006842
-52.713857	0.006649
-52.638819	0.006640
-52.563782	0.006981
-52.488744	0.006983
-52.413707	0.007056
-52.338669	0.007503
-52.263632	0.006751
-52.188594	0.006836
-52.113557	0.006921
-52.038519	0.007129
-51.963482	0.007168
-51.888444	0.007189
-51.813407	0.007284
-51.738369	0.007166
