# Time: 2025-04-22T05:21:09-07:00
# Header Rows: 22
# File Format: 2
# Device: APE PulseLink 150
# Serial: S07246
# Firmware: 787
# Software: 1.8.5.1
# Sensitivity: 10
# Gain: 400
# Scan Range [ps]: 150.0
# Filter ACF: 0
# Average: 16
# Trigger: 0
# Trigger Frequency [Hz]: N/A
# ACF [ps]: 15.001
# Fit Type: None
# Fit Pulse Duration [ps]: 0.000
# FWHM Valid: 1
# ==========
# Delay [ps]	Intensity [arb.u.]
# ==========
-75.000000	0.007478
-74.924962	0.007374
-74.849925	0.007307
-74.774887	0.007507
-74.699850	0.007573
-74.624812	0.007694
-74.549775	0.007370
-74.474737	0.007685
-74.399700	0.007405
-74.324662	0.007883
-74.249625	0.007447
-74.174587	0.007160
-74.099550	0.007326
-74.024512	0.007361
-73.949475	0.007257
-73.874437	0.007407
-73.799400	0.007370
-73.724362	0.008041
-73.649325	0.007453
-73.574287	0.007399
-73.499250	0.007048
-73.424212	0.007800
-73.349175	0.007827
-73.274137	0.007368
-73.199100	0.006942
-73.124062	0.007563
-73.049025	0.007658
-72.973987	0.007314
-72.898949	0.007444
-72.823912	0.007139
-72.748874	0.008026
-72.673837	0.007858
-72.598799	0.008136
-72.523762	0.007413
-72.448724	0.007949
-72.373687	0.007829
-72.298649	0.007442
-72.223612	0.007532
-72.148574	0.007191
-72.073537	0.007420
-71.998499	0.007615
-71.923462	0.007355
-71.848424	0.007056
-71.773387	0.007617
-71.698349	0.007193
-71.623312	0.007498
-71.548274	0.007920
-71.473237	0.007455
-71.398199	0.007260
-71.323162	0.007270
-71.248124	0.007498
-71.173087	0.007553
-71.098049	0.007382
-71.023012	0.007035
-70.947974	0.007004
-70.872936	0.007769
-70.797899	0.007717
-70.722861	0.007503
-70.647824	0.007941
-70.572786	0.007723
-70.497749	0.007201
-70.422711	0.007729
-70.347674	0.008209
-70.272636	0.007683
-70.197599	0.007636
-70.122561	0.007451
-70.047524	0.007328
-69.972486	0.007203
-69.897449	0.007351
-69.822411	0.007775
-69.747374	0.007532
-69.672336	0.007237
-69.597299	0.007513
-69.522261	0.007920
-69.447224	0.007746
-69.372186	0.007339
-69.297149	0.007368
-69.222111	0.007222
-69.147074	0.007004
-69.072036	0.007798
-68.996998	0.007754
-68.921961	0.007904
-68.846923	0.007320
-68.771886	0.007253
-68.696848	0.007434
-68.621811	0.007305
-68.546773	0.007544
-68.471736	0.007752
-68.396698	0.007272
-68.321661	0.007490
-68.246623	0.007143
