Delay (ps),Intensity (normalized)
-24.985993,0.01932017343463318
-24.910955,0.019327081550476428
-24.835918000000003,0.019333879741186614
-24.760880000000004,0.019340557749690908
-24.685843000000006,0.019347052258512014
-24.610805000000003,0.019353345545032714
-24.535768000000004,0.019359392785707894
-24.460730000000005,0.019365146412154192
-24.385693000000003,0.019370572024732746
-24.310655000000004,0.019375635296152147
-24.235618000000002,0.019380284080939593
-24.160580000000003,0.019384516215567978
-24.085543,0.019388274544817372
-24.010505000000002,0.01939158713514999
-23.935468000000004,0.01939441698699308
-23.86043,0.019396768285227517
-23.785392,0.019398655386735447
-23.710355000000003,0.019400092710035753
-23.635317,0.019401124510467684
-23.560280000000002,0.019401812519192232
-23.485242000000003,0.01940214384914935
-23.410205000000005,0.019402200766007495
-23.335167000000006,0.01940202269154077
-23.260130000000004,0.019401655274694448
-23.185092000000004,0.01940114978341749
-23.110055000000003,0.01940054039135364
-23.035017000000003,0.019399880349218607
-22.95998,0.019399212376130102
-22.884942000000002,0.01939855279596318
-22.809905,0.019397932089681127
-22.734867,0.019397379188031028
-22.659830000000003,0.01939690304460756
-22.584792000000004,0.019396550431993405
-22.509755000000006,0.019396337043100342
-22.434717000000003,0.019396289374208262
-22.359680000000004,0.019396464551291702
-22.284642000000005,0.019396898887350626
-22.209605000000003,0.019397621098005313
-22.134567000000004,0.01939868708801131
-22.059530000000002,0.0194001847872018
-21.984492000000003,0.019402198547006224
-21.909455,0.019404794757792897
-21.834417000000002,0.019408096824438507
-21.759379000000003,0.019412200679935692
-21.684342,0.019417214115732894
-21.609304,0.019423279729825944
-21.534267000000003,0.01943049263305149
-21.459229,0.019439017874579207
-21.384192000000002,0.019448972401152023
-21.309154000000003,0.01946045152443923
-21.234117000000005,0.019473598074757976
-21.159079000000006,0.019488522765299193
-21.084042000000004,0.019505334754011804
-21.009004000000004,0.019524122098955456
-20.933967000000003,0.01954496988702508
-20.858929000000003,0.019567945606562234
-20.783892,0.01959311466743032
-20.708854000000002,0.019620510217178776
-20.633817000000004,0.019650171478144778
-20.558779000000005,0.019682059519965423
-20.483742000000003,0.019716219937943688
-20.408704000000004,0.01975255885202026
-20.333667000000002,0.01979106184964919
-20.258629000000003,0.019831631726770063
-20.183592000000004,0.019874161553638057
-20.108554,0.019918564719876585
-20.033517000000003,0.019964667147730916
-19.958479000000004,0.020012308273752312
-19.883442000000002,0.020061341003640775
-19.808404000000003,0.020111535750916617
-19.733366000000004,0.020162693755424427
-19.658329000000002,0.020214584471749474
-19.583291000000003,0.020267006560246843
-19.508254000000004,0.02031967850579402
-19.433216,0.020372383737062738
-19.358179000000003,0.02042486407426729
-19.283141000000004,0.02047690197927768
-19.208104000000002,0.020528257911694974
